;classe;semaine_et_FB;delta_to_hours;mean_essai_sem;moy_norm_essai;entropie_essai_sem;entropie_norm_essai;sigma_essai_sem;solidite_essai_sem;solidite_norm_essai
0;Evian;data01FB1_2016_Evian;0.0;23.7288213317;1.0;0.159382283903;1.0;3734.53417961;0.578943669511;1.0
1;Evian;data01FB1_2016_Evian;0.269853055556;23.7288213317;1.0;0.159382283903;1.0;3734.53417961;0.578943669511;1.0
2;Evian;data01FB1_2016_Evian;4.29257166667;25.827290638;1.08843546323;0.07102002082;0.445595451896;7314.32978723;0.302351623763;0.522247050422
3;Evian;data01FB1_2016_Evian;8.30809666667;23.5024995866;0.990462158153;0.0622259925586;0.390419757045;7274.21856287;0.296713403075;0.512508243377
4;Evian;data01FB1_2016_Evian;12.3179005556;21.197781371;0.893334779451;0.0351202985751;0.22035258697;7197.25;0.293390603901;0.506768826316
5;Evian;data01FB1_2016_Evian;16.32493;20.0413640283;0.844600064543;0.0408463247979;0.256278952702;6902.92743363;0.280984087909;0.485339252688
6;Evian;data01FB1_2016_Evian;20.3021330556;20.6678750171;0.871003018997;0.0455301603071;0.285666381433;7225.00180832;0.293915077255;0.507674740624
7;Evian;data01FB1_2016_Evian;24.3323572222;21.4794148985;0.905203617081;0.0467862007604;0.293547059401;7077.73644933;0.288054101964;0.497551173169
8;Evian;data01FB1_2016_Evian;28.3204594444;20.0106195091;0.843304403088;0.0336891103379;0.211372992738;7064.28035714;0.28681416194;0.495409444899
9;Evian;data01FB1_2016_Evian;32.3487375;20.203959299;0.851452291566;0.0276466934817;0.173461521599;6961.04844291;0.284375583793;0.49119732846
10;Evian;data01FB1_2016_Evian;36.3232341667;17.087036033;0.720096282665;0.0134149558621;0.084168425333;6957.13613551;0.280409994519;0.484347630496
11;Evian;data01FB1_2016_Evian;40.3695486111;17.5525512705;0.739714418391;0.0109677198074;0.0688139204611;6680.38868275;0.272164146439;0.470104710997
12;Evian;data01FB1_2016_Evian;44.3464466667;16.8476820498;0.710009225248;0.00861751071407;0.0540681843869;6530.0987526;0.265893882938;0.459274186663
13;Evian;data01FB1_2016_Evian;48.3753402778;17.5408487395;0.739221240462;0.00958778262742;0.0601558867939;6397.25065274;0.261664861126;0.451969465953
14;Evian;data01FB1_2016_Evian;52.3595313889;18.936437212;0.798035306825;0.0112355747755;0.0704945022767;6390.54363313;0.262923664792;0.454143777086
15;Evian;data01FB1_2016_Evian;56.3968622222;19.5527958807;0.824010413639;0.012447396114;0.0780977396558;6662.35832187;0.27228829216;0.470319145884
16;Evian;data01FB1_2016_Evian;60.4034102778;20.271447089;0.854296418928;0.0157233592238;0.0986518629219;6855.30431548;0.278781938072;0.481535515031
17;Evian;data01FB1_2016_Evian;64.3795027778;14.2741724798;0.601554214611;0.00582338133118;0.036537193398;6685.89166667;0.268677549423;0.464082368583
18;Evian;data01FB1_2016_Evian;68.4187322222;13.643932686;0.574994117716;0.00519136840916;0.0325718033525;6663.18032787;0.26827926941;0.463394425983
19;Evian;data01FB1_2016_Evian;72.4188183333;13.1444158923;0.553943059732;0.00487147715863;0.0305647342938;6732.45783133;0.269521120807;0.465539455737
20;Evian;data01FB1_2016_Evian;76.4057902778;12.0701319885;0.508669681474;0.00360857419159;0.0226409993835;6351.59210526;0.255685517261;0.441641442381
21;Evian;data01FB1_2016_Evian;80.4096102778;12.9364716151;0.545179696634;0.00482866375959;0.0302961134785;6612.65267176;0.266181754996;0.459771423394
22;Evian;data01FB1_2016_Evian;84.4436919444;14.9464248398;0.629884840503;0.00756989366226;0.0474952013291;7021.80254777;0.280833569238;0.485079264231
23;Evian;data01FB1_2016_Evian;88.4435469444;12.883724838;0.542956797472;0.00564353249771;0.0354087817009;7263.63768116;0.287491147671;0.49657879136
24;Evian;data01FB1_2016_Evian;92.4520052778;12.4975565438;0.526682567546;0.00421102178994;0.0264208899937;6428.74728261;0.258749697815;0.446934151699
25;Evian;data01FB1_2016_Evian;96.4625641667;12.575009922;0.529946673127;0.00476310080578;0.0298847568823;6610.44554455;0.264163225146;0.456284849559
26;Evian;data01FB1_2016_Evian;100.468169722;11.746136423;0.495015587114;0.00384813488207;0.0241440565905;6668.60869565;0.264792777196;0.457372264593
27;Evian;data01FB1_2016_Evian;104.466585278;11.8226063995;0.498238249354;0.00387246704219;0.0242967219905;6525.31884058;0.261161004777;0.451099163063
28;Evian;data01FB1_2016_Evian;108.505977222;13.2765770235;0.559512705581;0.00564157263676;0.0353964850961;6918.09668508;0.277067901622;0.478574887702
29;Evian;data01FB1_2016_Evian;112.487064167;13.3390334676;0.56214479772;0.00541586256604;0.033980329767;6636.42771084;0.267342456413;0.461776284104
30;Evian;data01FB1_2016_Evian;116.4937875;13.9621357715;0.588404100496;0.00604862141411;0.0379503999189;6792.15891473;0.272525550758;0.470728958809
31;Evian;data10FB1_2016_Evian;0.0;21.0746683869;1.0;0.486750093534;1.0;22.390423496;0.92803289432;1.0
32;Evian;data10FB1_2016_Evian;0.198626388889;21.0746683869;1.0;0.486750093534;1.0;22.390423496;0.92803289432;1.0
33;Evian;data10FB1_2016_Evian;4.15296972222;19.539254359;0.927144095474;0.485517029271;0.997466740573;18.8357569054;0.933861072506;1.00628014182
34;Evian;data10FB1_2016_Evian;8.06722527778;18.8465586319;0.894275453636;0.489811506829;1.00628949709;17.5405986072;0.932469426332;1.00478057625
35;Evian;data10FB1_2016_Evian;17.8321411111;19.220018868;0.911996265618;0.48516702721;0.996747681522;14.2372566003;0.941715083049;1.01474321526
36;Evian;data10FB1_2016_Evian;21.8243461111;20.4339753397;0.969598902555;0.486574801627;0.999639872885;16.5012512948;0.942575668189;1.01567053707
37;Evian;data10FB1_2016_Evian;25.7574033333;18.9804820096;0.900630162294;0.470541050642;0.966699456031;14.6164387237;0.948077165393;1.02159866444
38;Evian;data10FB1_2016_Evian;29.7118508333;18.2426932939;0.8656218432;0.46430763536;0.953893263767;13.1852194785;0.947513186093;1.02099094967
39;Evian;data10FB1_2016_Evian;33.6465866667;18.0207468672;0.855090411691;0.47348642569;0.972750559229;13.2560129254;0.946438609577;1.01983304188
40;Evian;data10FB1_2016_Evian;37.5988522222;17.7755005244;0.843453391437;0.467311400351;0.960064325738;12.319767976;0.94669762886;1.02011214759
41;Evian;data10FB1_2016_Evian;41.5452627778;17.8443087953;0.846718366699;0.478849201278;0.983768072446;13.8435214972;0.941839303652;1.01487706892
42;Evian;data10FB1_2016_Evian;45.4762916667;18.4529583502;0.875598989814;0.469669352878;0.964908603239;13.9225360096;0.947545341431;1.02102559859
43;Evian;data10FB1_2016_Evian;49.4233227778;18.4143493074;0.873766977935;0.476313762034;0.978559158717;13.4709511851;0.946581650166;1.01998717498
44;Evian;data10FB1_2016_Evian;53.3799494444;18.6886854268;0.886784317729;0.472576045253;0.970880235117;14.8771466646;0.944891646979;1.01816611541
45;Evian;data10FB1_2016_Evian;57.3194075;19.4028937582;0.920673739773;0.476895263105;0.979753819136;15.3241884024;0.942364707953;1.01544321728
46;Evian;data10FB1_2016_Evian;61.2690994444;18.7581041485;0.890078259079;0.468776851992;0.963075011631;14.147803068;0.942933153886;1.01605574507
47;Evian;data10FB1_2016_Evian;65.2158244444;17.8924390198;0.849002161805;0.466090764848;0.957556600482;12.8167346638;0.94570125228;1.01903850399
48;Evian;data10FB1_2016_Evian;69.1490602778;19.3644074418;0.918847551302;0.47817216138;0.982377133015;15.1420499742;0.942944366593;1.0160678273
49;Evian;data10FB1_2016_Evian;73.1018391667;18.453702109;0.875634281413;0.471331305579;0.968322989231;13.3721783834;0.947438293335;1.02091024912
50;Evian;data10FB1_2016_Evian;77.0560327778;18.0269784158;0.855386100735;0.486448112931;0.999379598265;13.2220843477;0.929432625368;1.00150827741
51;Evian;data10FB1_2016_Evian;80.9821630556;18.3014066377;0.868407810823;0.483180012444;0.992665474262;13.022767761;0.933132528737;1.00549510093
52;Evian;data10FB1_2016_Evian;84.9368661111;16.9828735071;0.805842976758;0.47351703203;0.972813438191;11.347836786;0.941231933557;1.01422259848
53;Evian;data10FB1_2016_Evian;88.8867044444;18.2853105823;0.867644047659;0.467399929339;0.960246203438;13.3034241255;0.937470270484;1.01016922592
54;Evian;data10FB1_2016_Evian;92.8450858333;17.8205729972;0.845592095215;0.471059860467;0.967765320901;13.0725683474;0.93874786333;1.01154589355
55;Evian;data10FB1_2016_Evian;96.7897486111;18.2787497945;0.867332736104;0.478901559085;0.98387563854;13.0719627808;0.937656411416;1.01036980171
56;Evian;data10FB1_2016_Evian;100.730413333;17.6956428523;0.839664118429;0.476661714238;0.979274006458;13.0403439762;0.931244788524;1.00346097021
57;Evian;data10FB1_2016_Evian;104.669832222;18.6029540858;0.882716337181;0.487735968984;1.00202542426;14.2831944265;0.929789623214;1.00189295973
58;Evian;data10FB1_2016_Evian;108.620511111;16.6236144781;0.788796016759;0.464986250611;0.95528743967;11.2753167662;0.932530839977;1.0048467524
59;Evian;data10FB1_2016_Evian;112.577733056;16.8682451895;0.800403825094;0.470095310009;0.965783707603;12.3906520541;0.927831556863;0.999783049223
60;Evian;data10FB1_2016_Evian;116.500646111;18.2091712701;0.864031212061;0.471331194617;0.968322761265;13.5124538952;0.934976073399;1.00748160881
61;Evian;data10FB1_2016_Evian;120.449360833;17.9346891756;0.851006945699;0.472812972299;0.971366988072;12.5945476754;0.934999622532;1.00750698413
62;Evian;data10FB1_2016_Evian;124.397911111;17.6471658828;0.837363870159;0.468953365148;0.963437647733;12.8346160768;0.927227733731;0.999132400807
63;Evian;data10FB1_2016_Evian;128.361183611;18.9223289475;0.897870780225;0.477731515512;0.981471851488;14.3258602654;0.934611386112;1.00708864075
64;Evian;data10FB1_2016_Evian;132.291111389;16.8020447384;0.797262591751;0.467571804227;0.960599310485;11.6512309858;0.931213423985;1.00342717342
