date;nom;semaine;num_essai;moyenne;ecart-type;solidite;entropie;smoothness;mm_gradient
2015-11-03 22:33:02.654; Snapshot-20151103-223302654.tif ;45;3;14.1519353591;6194.5;0.25367458444;0.00412896018014;10.6150202977;
2015-11-03 22:33:13.583; Snapshot-20151103-223313583.tif ;45;3;13.4884715134;6752.5;0.271100081517;0.0053469189659;11.7821192053;
2015-11-03 22:33:02.696; Snapshot-20151103-223302696.tif ;45;3;15.1881898789;4896.5;0.208662057319;0.00335797565024;11.8400923178;
2015-11-03 22:33:04.574; Snapshot-20151103-223304574.tif ;45;3;14.1917468016;6337.0;0.258526119495;0.00475860557288;11.3342945874;
2015-11-03 22:33:04.616; Snapshot-20151103-223304616.tif ;45;3;13.3399053552;6481.0;0.261884292158;0.00394856131764;11.0784655623;
2015-11-03 22:33:04.656; Snapshot-20151103-223304656.tif ;45;3;14.2496630542;6259.0;0.255734229606;0.00516392243627;11.9923886277;
2015-11-03 22:33:04.697; Snapshot-20151103-223304697.tif ;45;3;14.9720242709;7608.5;0.300823403457;0.00645595635664;12.2380090498;
2015-11-03 22:33:04.739; Snapshot-20151103-223304739.tif ;45;3;14.305274396;7342.5;0.291760788876;0.00617636092691;11.9742746615;
2015-11-03 22:33:04.778; Snapshot-20151103-223304778.tif ;45;3;13.8304556205;7841.0;0.311374541462;0.00722229604838;11.9390243902;
2015-11-03 22:33:04.821; Snapshot-20151103-223304821.tif ;45;3;13.2077229935;7541.5;0.296493609861;0.00543617735345;11.3998111426;
2015-11-03 22:33:04.862; Snapshot-20151103-223304862.tif ;45;3;10.8659855088;7020.5;0.279577891473;0.00410960076483;11.0858544563;
2015-11-03 22:33:04.903; Snapshot-20151103-223304903.tif ;45;3;11.2148126842;7252.0;0.282590279956;0.0031760739365;10.52754281;
2015-11-03 22:33:02.528; Snapshot-20151103-223302528.tif ;45;3;16.4475620595;6569.0;0.266781111309;0.0051604761316;11.2087865216;
2015-11-03 22:33:04.941; Snapshot-20151103-223304941.tif ;45;3;12.8846244153;6076.5;0.248839900353;0.00401955448992;12.6643229167;
2015-11-03 22:33:05.026; Snapshot-20151103-223305026.tif ;45;3;12.7624367295;7319.0;0.288922677409;0.00501389234519;11.3778033353;
2015-11-03 22:33:05.065; Snapshot-20151103-223305065.tif ;45;3;14.3137083453;7639.0;0.305084649745;0.00750589065144;12.3610917942;
